Názov školy;Obec;Ulica;PSČ
Športové gymnázium;Trenčín;Staničná 6;91105
Piaristické gymnázium Jozefa Braneckého;Trenčín;Palackého 4;91250
Súkromné športové gymnázium;Trenčianske Teplice;Sídlisko SNP 6;91451
Súkromné gymnázium FUTURUM;Trenčín;Kožušnícka 2;91105
Stredná zdravotnícka škola;Považská Bystrica;Školská 230;1701
Stredná zdravotnícka škola;Trenčín;Veľkomoravská 14;91134
Stredná umelecká škola;Trenčín;Staničná 8;91105
Stredná odborná škola strojnícka;Bánovce nad Bebravou;Partizánska cesta 76;95701
Stredná odborná škola;Pruské;Pruské 294;1852
Stredná odborná škola;Dubnica nad Váhom;Bratislavská 439/18;1841
Stredná odborná škola;Stará Turá;Športová 675;91601
Stredná odborná škola;Partizánske;Námestie SNP 5;95823
Stredná odborná škola;Považská Bystrica;Slov. partizánov 1129/49;1701
Súkromná stredná odborná škola;Prievidza;S. Chalupku 1938/12B;97101
Stredná odborná škola;Prievidza;T. Vansovej 32;97101
Stredná odborná škola;Handlová;Lipová 8;97251
Stredná odborná škola ako organizačná zložka Spojenej školy;Nováky;Rastislavova 332;97271
Stredná odborná škola;Púchov;I.Krasku 491;2032
Súkromná stredná odborná škola;Trenčín;Ul.gen.M.R.Štefánika 379;91101
Stredná odborná škola;Trenčín;Pod Sokolice 14;91101
Stredná odborná škola ako organizačná zložka Piaristickej spojenej školy Františka Hanáka;Prievidza;A. Hlinku 44;97101
Stredná odborná škola ako organizačná zložka Spojenej školy sv. Jána Bosca;Nová Dubnica;Trenčianská 66/28;1851
Stredná odborná škola strojnícka;Považská Bystrica;Športovcov 341/2;1749
Stredná odborná škola stavebná Emila Belluša;Trenčín;Staničná 4;91105
Stredná odborná škola sklárska;Lednické Rovne;Súhradka 193;2061
Stredná priemyselná škola;Dubnica nad Váhom;Obrancov mieru 343/1;1841
Stredná priemyselná škola;Myjava;SNP 413/8;90701
Stredná priemyselná škola;Považská Bystrica;Slov. partizánov 1132/52;1701
Stredná priemyselná škola;Nové Mesto nad Váhom;Bzinská 11;91501
Súkromná hotelová akadémia;Považská Bystrica;M. R. Štefánika 148/27;1701
Elokované pracovisko ako súčasť Obchodnej akadémie P. Bystrica;Ilava;Hviezdoslavova 330/17;1901
Obchodná akadémia;Považská Bystrica;Jesenského 259/6;1744
Súkromná obchodná akadémia;Považská Bystrica;M. R. Štefánika 148/27;1701
Obchodná akadémia;Prievidza;F. Madvu 2;97129
Obchodná akadémia Milana Hodžu;Trenčín;Martina Rázusa 1;91129
Stredná odborná škola obchodu a služieb;Prievidza;Nábr. J. Kalinčiaka 1;97101
Stredná odborná škola obchodu a služieb;Púchov;Ul. 1. mája 1264;2029
Stredná odborná škola obchodu a služieb;Trenčín;Jilemnického 24;91250
Stredná odborná škola obchodu a služieb;Nové Mesto nad Váhom;Piešťanská 2262/80;91501
Pedagogická a sociálna akadémia sv. Andreja-Svorada a Benedikta;Trenčín;1. mája 7;91101
Praktická škola ako organizačná zložka Spojenej školy internátnej;Považská Bystrica;Sídl. SNP 1653/152;1701
Praktická škola ako organizačná zložka Spojenej školy;Prievidza;Nábr. J. Kalinčiaka 4;97101
Praktická škola ako organizačná zložka Spojenej školy Vladimíra Predmerského;Trenčín;Ľudovíta Stárka 12;91105
Praktická škola ako organizačná zložka Spojenej školy internátnej;Prievidza;Úzka 2;97101
Praktická škola ako organizačná zložka Spojenej školy;Púchov;Športovcov 1461/17;2001
Praktická škola ako organizačná zložka Spojenej školy;Dubnica nad Váhom;Školská 386/1;1841
Praktická škola ako organizačná zložka Spojenej školy;Nové Mesto nad Váhom;Ul. J. Kollára 3;91532
Praktická škola ako organizačná zložka Spojenej školy;Myjava;Továrenská 63/1;90701
Praktická škola ako organizačná zložka Spojenej školy internátnej;Trenčianska Teplá;M. R. Štefánika 323/1;91401
Odborné učilište internátne;Ladce;Hviezdoslavova 668;1863
Odborné učilište ako organizačná zložka Spojenej školy;Prievidza;Nábr. J. Kalinčiaka 4;97101
Dopravná akadémia;Trenčín;Školská 66;91250
Stredná odborná škola letecko - technická;Trenčín;Legionárska 160;91104
Gymnázium Ľudovíta Jaroslava Šuleka;Komárno;Pohraničná 10;94552
Gymnázium Hansa Selyeho s vyučovacím jazykom maďarským - Selye János Gimnázium;Komárno;Biskupa Királya 5;94501
Gymnázium Andreja Vrábla;Levice;Mierová 5;93403
Gymnázium;Šahy;Mládežnícka 22;93601
Gymnázium s vyučovacím jazykom maďarským - Gimnázium;Šahy;Mládežnícka 22;93601
Gymnázium;Želiezovce;Štúrova 16;93701
Gymnázium Jána Amosa Komenského s vyučovacím jazykom maďarským - Comenius Gimnázium;Želiezovce;Štúrova 16;93701
Gymnázium;Nitra;Golianova 68;94901
Gymnázium;Nitra;Párovská 1;95050
Spojená katolícka škola;Nitra;Farská 19;94901
Piaristická spojená škola sv. Jozefa Kalazanského;Nitra;Piaristická 6;94901
Gymnázium;Vráble;Školská 26;95280
Gymnázium;Nové Zámky;M. R. Štefánika 16;94061
Gymnázium - Gimnázium;Štúrovo;Adyho 7;94301
Gymnázium;Šurany;Bernolákova 37;94201
Gymnázium Juraja Fándlyho;Šaľa;Školská 3;92701
Gymnázium;Topoľčany;17. novembra 1180/16;95501
Gymnázium Janka Kráľa;Zlaté Moravce;Slov.národ.povstania 3;95342
Cirkevná spojená škola Marianum s vyučovacím jazykom maďarským;Komárno;Biskupa Királya 30;94501
Gymnázium Pétera Czeglédiho Reformovanej kresťanskej cirkvi s vyuč. jaz. maď. - Czeglédi Péter Református Gimnázium;Levice;J. Jesenského 41;93401
Športové gymnázium ako organizačná zložka Spojenej školy;Nitra;Slančíkovej 2;95050
Gymnázium Petra Pázmáňa s vyučovacím jazykom maďarským - Pázmány Péter Gimnázium;Nové Zámky;Letomostie 3;94061
